account_id,contact_id,insurance_type
97477822,73312751,Health Insurance
6637624,9250846,House Insurance
57636412,29334505,Car Insurance
58849863,94571886,Health Insurance
64945061,93549865,House Insurance
73380077,13593921,Health Insurance
52329922,16912361,House Insurance
41713374,53560177,Health Insurance
54523755,47250471,Car Insurance
53415666,14066735,House Insurance
96173172,33347375,Health Insurance
31790913,29567492,Car Insurance
51445900,25759640,Health Insurance
30447892,89450631,Health Insurance
83204059,8330401,Health Insurance
30624438,30774498,Car Insurance
29289159,84383531,Health Insurance
32965096,70098471,Car Insurance
70460973,58730190,House Insurance
4260686,46550498,Health Insurance
57027975,70612235,House Insurance
68780495,15701570,Car Insurance
68959154,98487170,House Insurance
43777769,77493390,House Insurance
80138537,71254122,Car Insurance
78012039,72110775,Health Insurance
55198082,96845873,House Insurance
18608939,41199145,Health Insurance
56847342,45628192,Car Insurance
42666616,70548817,Car Insurance
86796664,4164215,Health Insurance
23946127,13220200,Car Insurance
25168455,99200038,Health Insurance
18234654,12943774,Health Insurance
9269624,62576199,Car Insurance
81864208,56207175,Car Insurance
12284781,15645066,Health Insurance
63324005,44509862,House Insurance
9851191,76288931,Health Insurance
38523954,87762208,Health Insurance
74861204,32030990,Health Insurance
95305743,20196075,Car Insurance
98784474,28003045,Health Insurance
62916691,23977489,Health Insurance
35296373,52535693,Health Insurance
91356378,35530173,Health Insurance
27782491,30318372,Health Insurance
55118139,1085259,Health Insurance
83750665,64880900,Health Insurance
87570148,54362863,Car Insurance
63706796,9598993,House Insurance
89623593,36183406,Health Insurance
88747697,68125529,Car Insurance
77252353,13489815,Health Insurance
32640174,76745355,Health Insurance
69453135,95714228,Health Insurance
41523006,76063600,House Insurance
58367760,56174449,Health Insurance
14560810,97910179,House Insurance
91735968,22865319,Car Insurance
15747705,17634866,Car Insurance
86905936,45128174,Car Insurance
69459618,92163015,Car Insurance
22554313,22501961,Health Insurance
81509814,605657,Health Insurance
82821326,24999100,Car Insurance
44941404,5655437,Health Insurance
45533835,68836618,Car Insurance
21866241,4942879,Health Insurance
42049058,54391968,Health Insurance
62400454,57964106,Car Insurance
55267700,19506103,Health Insurance
40386311,52699856,Health Insurance
79447778,87947878,House Insurance
67123653,93857575,House Insurance
18153521,91550294,Health Insurance
93810442,12028214,Health Insurance
50537498,76650162,House Insurance
77554975,405066,Car Insurance
66533707,20457875,Car Insurance
49182250,5350865,Car Insurance
51488517,39911147,Health Insurance
46801104,28845810,House Insurance
46932384,2198011,Health Insurance
24971054,16677840,Health Insurance
52195209,74541070,House Insurance
56915119,59222813,Health Insurance
39323948,7308995,Health Insurance
86688878,51095880,Car Insurance
37039354,67903886,Health Insurance
44814277,1815955,House Insurance
23269786,70133660,Health Insurance
44217041,80169372,Car Insurance
89042123,95319181,House Insurance
79291433,67463451,Health Insurance
35859188,23850743,Health Insurance
67275848,84495123,House Insurance
46097213,23521572,House Insurance
40128487,7245566,Car Insurance
8630699,74185174,Health Insurance
80312615,34226213,Health Insurance
17327182,16966458,House Insurance
19311872,81447302,House Insurance
81702581,56349752,Health Insurance
72249535,26736765,House Insurance
50132665,99722009,Health Insurance
90508837,67038829,Car Insurance
37799447,58834534,Health Insurance
20108303,76916884,Health Insurance
16166029,64137241,Health Insurance
18462323,79415242,Car Insurance
75112376,39673178,Car Insurance
95276379,70066416,House Insurance
23290905,20566879,House Insurance
37438617,94250567,Health Insurance
77543433,44593966,Health Insurance
98071189,7934030,Health Insurance
6415745,10706228,House Insurance
66247178,33094887,House Insurance
45207545,21413110,Health Insurance
71048365,16728183,House Insurance
94315825,89815569,Health Insurance
54911272,21235058,Health Insurance
3700194,60922594,Health Insurance
51533760,68918647,Health Insurance
88491601,25969084,Health Insurance
93519709,72413109,Car Insurance
31251461,10125741,Health Insurance
8249978,57411050,House Insurance
78131886,62608735,House Insurance
1730051,16548938,Health Insurance
54945216,51094593,Car Insurance
78450761,27554688,Health Insurance
43053547,74953507,House Insurance
66100434,52326322,Health Insurance
91119785,32782439,House Insurance
8680460,56499984,House Insurance
67454636,83946185,House Insurance
80353520,51134777,House Insurance
26895816,9193310,Health Insurance
47369146,91050242,House Insurance
11585862,3445511,Health Insurance
81246327,75977589,House Insurance
14993196,2116553,House Insurance
7472561,68640765,Car Insurance
41973087,55137154,Health Insurance
77983245,80050324,House Insurance
24812733,56766991,Health Insurance
1608257,8289732,House Insurance
23909154,72315374,Health Insurance
45026887,90894457,Car Insurance
38462370,44363866,Health Insurance
95217294,16959242,Health Insurance
13095345,32166627,Health Insurance
16616587,97111963,House Insurance
78169039,75787857,Car Insurance
63823871,58693341,Health Insurance
33864075,24939263,Car Insurance
24091146,61301111,Car Insurance
79942289,6465073,Car Insurance
91436930,49721802,Car Insurance
30997721,49580357,Health Insurance
13134579,25113136,Health Insurance
73893731,79339702,Car Insurance
65213676,84104903,Car Insurance
36714901,67634320,House Insurance
86900385,3902808,Car Insurance
42511174,70529541,Car Insurance
465322,80989188,Health Insurance
87281024,81177981,Car Insurance
50301509,59854126,Car Insurance
96493835,91519712,Car Insurance
18470065,93549526,House Insurance
5039671,72876915,House Insurance
88425661,60268367,Car Insurance
34712100,48309612,House Insurance
8884539,88976338,Health Insurance
86461214,57073362,House Insurance
88408146,16835907,House Insurance
92262121,87764140,Car Insurance
66917700,21039654,Health Insurance
37894534,23616025,House Insurance
83016032,9535603,Health Insurance
28092467,31306605,Health Insurance
27621517,75620393,House Insurance
14108925,22692885,Car Insurance
53840623,39112741,Car Insurance
55768730,20563120,Car Insurance
64619282,78353399,House Insurance
94295536,33482272,Car Insurance
32176648,87660796,Health Insurance
84375871,70425881,House Insurance
99893911,19385206,Health Insurance
11881899,90569419,Car Insurance
98772646,11667011,House Insurance
21796049,17005998,Health Insurance
61925758,93170050,Car Insurance
5907281,26468726,Health Insurance
36282288,71784067,Car Insurance
48847376,26917360,Health Insurance
64899778,11944948,Car Insurance
87416672,78626572,Car Insurance
4273031,23453174,Car Insurance
40975551,29175487,House Insurance
76286557,93013410,House Insurance
83560317,55896887,Health Insurance
41579862,34074576,Car Insurance
58129773,18098286,House Insurance
29516093,27217738,Health Insurance
93501780,8741011,Health Insurance
86959462,96237447,House Insurance
92529434,47474169,House Insurance
94604509,71049703,House Insurance
21716128,95301785,Car Insurance
64952540,4578955,Health Insurance
81957090,60958575,Car Insurance
26110060,75241249,Health Insurance
80791664,46003148,Health Insurance
43881226,48648312,House Insurance
7296344,19743184,Health Insurance
27183789,54908724,Car Insurance
42543800,99597881,House Insurance
42306926,89527822,House Insurance
67284237,63069876,House Insurance
10132785,92696726,House Insurance
47130014,48359718,Health Insurance
20320575,88794814,Health Insurance
6241272,5330399,Health Insurance
40120522,66635539,Car Insurance
88274500,48157252,House Insurance
93926757,70190123,Health Insurance
61074633,39831322,House Insurance
59484797,47378545,Health Insurance
11991151,1957388,Car Insurance
59598519,38189251,House Insurance
75390214,91288601,House Insurance
46854038,2900177,Car Insurance
13673559,69080307,House Insurance
37456980,82118405,Health Insurance
34505675,27071117,Health Insurance
14341964,3674306,Health Insurance
21978944,95416695,Health Insurance
10268172,17112149,Car Insurance
15419587,72177110,Car Insurance
64643191,49846274,Health Insurance
81798228,67270381,House Insurance
54963023,12819216,House Insurance
3713327,52036270,House Insurance
43275255,42610171,House Insurance
58477629,47331621,Car Insurance
75698663,29690538,Health Insurance
23663269,99903790,Car Insurance
88612223,75304301,Car Insurance
10623854,25823825,Car Insurance
72848845,85134136,House Insurance
55003945,70570732,House Insurance
33437160,22678493,House Insurance
84354921,54657125,House Insurance
25886359,13685174,House Insurance
46834989,49868264,Health Insurance
84672835,38282329,House Insurance
7702174,24056302,House Insurance
20381000,10799726,House Insurance
57652093,45541856,Health Insurance
65941782,85461082,House Insurance
60757062,94355088,House Insurance
69411573,74735174,Health Insurance
24798791,61124533,Car Insurance
40249690,60715407,Health Insurance
41029062,74712822,Car Insurance
69933865,56101421,Car Insurance
27563449,57056556,Car Insurance
93566507,42057438,Health Insurance
81011600,77095873,Health Insurance
66438556,74217271,Car Insurance
37806267,99183279,Health Insurance
45743655,84743372,House Insurance
62832781,1651840,Car Insurance
94278779,85378080,House Insurance
87767921,8128575,Health Insurance
59168188,94348462,Car Insurance
5743593,16023106,Health Insurance
89514620,81573787,Car Insurance
61269036,27363271,Health Insurance
90728579,24546831,House Insurance
53107718,10822792,House Insurance
62126131,93141195,Car Insurance
10562878,7817679,Health Insurance
93892702,5142065,Health Insurance
21468587,88561613,Health Insurance
85098846,45383057,Car Insurance
40142845,15489043,Health Insurance
84698706,35480873,House Insurance
88028245,86982994,House Insurance
11196236,76285512,Car Insurance
7382025,29311668,House Insurance
49817762,2515482,Health Insurance
49629590,31903511,Health Insurance
75740723,91843260,Car Insurance
87179496,87060913,House Insurance
50298198,7870090,Car Insurance
35140306,49335133,Health Insurance
97382029,13374705,Car Insurance
738645,81343449,Car Insurance
76965915,39303823,House Insurance
38200437,19203629,Car Insurance
87420850,1842963,House Insurance
48045106,28173457,Health Insurance
91939958,41156173,Car Insurance
59260845,49372492,Car Insurance
3422592,31404089,House Insurance
59724826,8417689,Car Insurance
79226382,39209025,Health Insurance
91187125,77837979,House Insurance
51168042,88232508,Car Insurance
37319561,26525496,Car Insurance
20334794,63234256,Health Insurance
75159045,56449566,Health Insurance
9229148,96815157,House Insurance
71993874,81996917,House Insurance
78914114,76582981,Health Insurance
55896020,76459173,Health Insurance
97240996,71130302,House Insurance
1171402,61224472,Car Insurance
15860685,26629090,House Insurance
66612014,73378706,House Insurance
19241435,56065804,Car Insurance
75261752,99516756,Health Insurance
44048183,74319686,Health Insurance
79239822,66670961,Health Insurance
13840529,48407823,Health Insurance
32169682,75391931,Car Insurance
13822864,69563529,Car Insurance
11833184,25089161,House Insurance
98232553,55299724,Health Insurance
67395262,64456958,Car Insurance
35063935,84869927,Car Insurance
53724895,39815622,Health Insurance
21283480,79839316,Car Insurance
21098150,14638315,House Insurance
55361700,48817124,House Insurance
40886389,95132386,Health Insurance
99063086,30876110,Car Insurance
45582777,91671560,House Insurance
59873837,94967051,Car Insurance
68412276,98075156,House Insurance
95117308,96533980,Health Insurance
10184508,54415540,Car Insurance
68953980,63816438,Health Insurance
20553487,16204074,Health Insurance
85674288,81449513,Car Insurance
96836580,48789043,Car Insurance
35595587,98310377,Car Insurance
60719884,93852991,Health Insurance
91623478,99244670,Car Insurance
82355107,55347734,Car Insurance
75000395,45321443,Car Insurance
52327031,84034570,Car Insurance
14242565,70024005,Health Insurance
18255861,15966990,Car Insurance
1941048,47755990,House Insurance
57214956,35340314,House Insurance
42375958,85461082,Car Insurance
57555374,19250107,House Insurance
61661216,54394556,Health Insurance
35889509,39426991,House Insurance
74507677,44728,Car Insurance
21704195,45780468,Car Insurance
5818956,5440551,Car Insurance
23177386,28328631,House Insurance
15487165,6160500,Car Insurance
27683861,18476890,House Insurance
73675595,45202088,Health Insurance
34748323,1246822,House Insurance
82705262,18422917,Car Insurance
2372890,46053673,Car Insurance
41938708,19632215,Car Insurance
44753038,71129556,House Insurance
11898259,80294097,Car Insurance
81330141,91509452,Car Insurance
46757718,18499223,Car Insurance
16978956,43750364,Health Insurance
83481827,56261644,Car Insurance
61177073,84818564,Health Insurance
84060637,94332391,House Insurance
66848122,71884038,Car Insurance
76874920,3978624,House Insurance
11811543,76676603,House Insurance
76530620,82347255,House Insurance
26047101,77456693,Health Insurance
70901732,885300,Car Insurance
48670902,6487834,House Insurance
96035052,71699704,Car Insurance
62893074,49300873,Car Insurance
51247512,12622059,Health Insurance
74304167,61550419,Health Insurance
39599768,37596749,Car Insurance
99295644,44860443,Health Insurance
41012722,22509875,House Insurance
7542016,24841708,Car Insurance
2184581,33059145,House Insurance
89716034,90328214,Health Insurance
81979027,11738057,Car Insurance
98779601,53096009,Health Insurance
80008477,66106861,Car Insurance
95446044,67422652,Car Insurance
6138496,14555034,House Insurance
32232628,87713657,House Insurance
38906757,42741447,Health Insurance
42497483,90018546,House Insurance
12054330,95141946,House Insurance
55230529,94204670,Health Insurance
22100697,62746167,House Insurance
18732996,80622263,House Insurance
24592582,45818363,House Insurance
89375020,90214621,Car Insurance
80387633,1752271,House Insurance
68712722,57410625,House Insurance
65110800,70047465,Car Insurance
17558109,16715128,House Insurance
53811735,99202868,Health Insurance
3880000,83877055,House Insurance
74327622,19668164,Car Insurance
50528414,26811251,Health Insurance
34834697,84765270,Car Insurance
96861658,38587028,House Insurance
6541824,3337349,Car Insurance
86481230,62481321,Car Insurance
34449333,77221224,House Insurance
98160285,17831513,Health Insurance
16232136,80998751,Car Insurance
69062827,84668454,House Insurance
20886818,80571175,House Insurance
35898989,66006781,House Insurance
77537003,42644497,Car Insurance
84289504,58532384,Car Insurance
41384532,36013112,Car Insurance
74757733,44092028,Car Insurance
29728743,23864730,House Insurance
45521956,56297053,Health Insurance
64601302,48704618,House Insurance
95175530,7221441,Car Insurance
90815954,77969747,Health Insurance
56968754,34572509,House Insurance
99467722,53036730,Car Insurance
23161667,84930094,House Insurance
89725345,67890306,House Insurance
1263281,59003887,Car Insurance
40467001,99097484,Car Insurance
94626628,85079462,Health Insurance
36551866,49361575,Car Insurance
30934241,94169773,House Insurance
76136235,71501108,House Insurance
35778383,22517628,Health Insurance
2784790,88258982,Car Insurance
60463672,24281460,Car Insurance
24615554,38507021,Health Insurance
40603517,82095154,House Insurance
36930475,49980111,Health Insurance
37123184,44687305,Health Insurance
43131249,8471995,Health Insurance
72710553,4744474,House Insurance
63496785,53948131,House Insurance
55397142,75731542,House Insurance
54699805,30301102,Health Insurance
46298444,28960372,House Insurance
52722017,26025747,Car Insurance
86247544,39730092,Health Insurance
49956997,7158882,House Insurance
75524299,56608417,Car Insurance
48346235,21430368,Health Insurance
24297321,91182372,Health Insurance
94012235,5285227,House Insurance
95348540,51212693,Health Insurance
15868504,59676450,Car Insurance
51135226,40666139,Car Insurance
55588343,17672434,Health Insurance
60857525,73077086,Car Insurance
67392443,11346551,House Insurance
73506960,48952146,House Insurance
41055805,32621329,Health Insurance
36203887,35580402,House Insurance
38876772,73887153,Car Insurance
18206944,80650366,House Insurance
25186313,17358920,Car Insurance
24484007,81478677,Car Insurance
46917529,18899500,House Insurance
69993723,49917028,Health Insurance
38995053,49735447,House Insurance
9979914,82723208,Health Insurance
76462054,47650551,Car Insurance
59949900,74984267,Health Insurance
10380358,82823639,House Insurance
48142576,30122493,House Insurance
78056858,58955021,Health Insurance
21100139,78358471,House Insurance
29149879,66876684,Car Insurance
50390437,93278149,Health Insurance
89250624,9814888,Health Insurance
15664853,8728714,Car Insurance
14620354,75451413,Health Insurance
28735429,30653070,Health Insurance
58047000,97646203,House Insurance
95845587,54806301,Car Insurance
70314328,69522840,House Insurance
96949994,51788445,Health Insurance
74836381,79068890,Health Insurance
14389819,24444833,Health Insurance
11739817,54817557,House Insurance
69183046,99730516,House Insurance
98246238,62012894,Car Insurance
37774098,68197653,Car Insurance
92217431,46570286,Car Insurance
79501732,75070468,Health Insurance
74912621,19190927,Car Insurance
30308811,65647077,House Insurance
77708542,93802711,Car Insurance
79621532,79259998,Health Insurance
28008601,82795234,Car Insurance
8235133,3184283,Car Insurance
72512676,48136123,House Insurance
92375061,46870304,Car Insurance
23649004,9526397,Health Insurance
20045959,6549617,House Insurance
80626796,6718500,Health Insurance
15390873,25324354,Health Insurance
14191591,69925748,Health Insurance
40077033,24789566,House Insurance
36392758,97162473,House Insurance
41588156,8683362,Car Insurance
41994377,78348534,House Insurance
69668952,52092752,Car Insurance
66573767,14157500,Health Insurance
82272976,20723352,Car Insurance
8960984,45433768,House Insurance
17887937,98374239,Health Insurance
67359519,6902149,House Insurance
11546314,47800622,Health Insurance
91639972,30115907,Health Insurance
86868583,51048158,Car Insurance
10981892,92254894,House Insurance
81169018,75187936,Health Insurance
48826328,4348179,House Insurance
60247935,4544895,Car Insurance
60424342,30570600,Car Insurance
61594134,48795484,Car Insurance
2524587,45252973,Car Insurance
64751587,45107787,Car Insurance
76267732,88385640,Health Insurance
47596790,25146520,Health Insurance
43419035,63798556,Car Insurance
77245945,46956239,Car Insurance
28704022,27354485,Car Insurance
80162478,67348140,Health Insurance
27811012,55095796,House Insurance
32113574,24460687,Health Insurance
45754927,93554495,Health Insurance
5289978,75213608,Health Insurance
65346907,1594132,House Insurance
35390988,8155953,House Insurance
75590239,65758901,Car Insurance
75142474,61177791,Car Insurance
33244008,79225612,Health Insurance
83871155,69924321,House Insurance
7355703,45369428,Health Insurance
42774574,26612037,Car Insurance
89440133,3784210,Health Insurance
9280330,21301396,House Insurance
42403400,95562376,Health Insurance
41340976,77242330,Car Insurance
68701888,36783951,Health Insurance
1860485,68514964,Car Insurance
25045722,41152836,Health Insurance
59121504,31639142,Car Insurance
58704936,3185435,Car Insurance
60881420,48571196,House Insurance
39906992,85152151,House Insurance
38358445,65046116,Car Insurance
24574483,74627271,Health Insurance
6806368,16230679,Health Insurance
43331062,36815066,House Insurance
31063202,60678692,Health Insurance
29315317,43925358,Car Insurance
69928112,61502307,Health Insurance
91225839,98084389,Health Insurance
72316058,65248225,Car Insurance
68032322,38402591,Health Insurance
66099116,56450175,Health Insurance
12040848,16093883,House Insurance
72676682,65988739,Health Insurance
29840835,83869002,House Insurance
72780160,29686375,Health Insurance
80348944,94261609,House Insurance
15808208,70107319,Health Insurance
92426859,76677152,House Insurance
61527843,45773050,Health Insurance
4872557,44472586,House Insurance
5462287,92958783,Health Insurance
24326293,93511118,Health Insurance
56874714,58955021,House Insurance
98929167,41628069,Car Insurance
49980958,29505201,Car Insurance
87671279,60487127,House Insurance
98281614,94677345,House Insurance
53843167,18587812,Health Insurance
9959640,79620158,Car Insurance
571570,5164597,House Insurance
4770112,24434929,Car Insurance
28991657,57731726,House Insurance
11935987,24973494,House Insurance
15639360,97633183,House Insurance
98114627,61815185,Car Insurance
58006602,22397717,Car Insurance
45779205,1846067,Car Insurance
13601447,95512116,Health Insurance
13626248,92230338,House Insurance
55436876,53038870,House Insurance
34146339,28716002,Health Insurance
82779921,50028391,Car Insurance
9795782,10889742,House Insurance
6377488,49379997,House Insurance
67506021,86769183,House Insurance
81963133,56348786,Health Insurance
28503598,77254360,Car Insurance
96139615,66862226,House Insurance
77587703,68847463,Car Insurance
27204627,49179694,Health Insurance
59920392,57113215,Car Insurance
54023512,75064388,House Insurance
75494870,52222200,Car Insurance
89117426,16466154,Car Insurance
14061452,21061739,Health Insurance
63454403,79465143,Health Insurance
22117696,4748157,Health Insurance
38666843,56679311,Health Insurance
78724514,93911984,House Insurance
90584626,94919070,House Insurance
99848443,45466929,House Insurance
32536501,21571308,House Insurance
59026901,29014103,Car Insurance
45974891,49184188,Car Insurance
47005525,68530299,House Insurance
54942038,73573950,Car Insurance
84683963,29406716,Health Insurance
21865134,95330809,Health Insurance
18285753,42768475,Health Insurance
27013090,93084680,Health Insurance
17336990,75351771,House Insurance
52562600,11459962,Car Insurance
61548746,83752970,Car Insurance
98500120,39528155,Health Insurance
26614772,69816609,Health Insurance
91278589,32636423,Health Insurance
69848969,67847702,Health Insurance
64848909,59669818,House Insurance
66439724,27802483,Health Insurance
60025872,33312151,House Insurance
91541024,99078465,House Insurance
22925757,93571992,Car Insurance
87908065,87408654,House Insurance
61925820,37807887,Health Insurance
99734621,74729768,Car Insurance
98391965,69397627,House Insurance
22584415,16893743,Health Insurance
5991727,53590131,Car Insurance
4681513,97572928,Car Insurance
36033405,6674352,Health Insurance
75276038,69736062,House Insurance
16033743,79979758,Health Insurance
86116473,81608430,Health Insurance
61956032,24505613,Car Insurance
14777369,66733092,House Insurance
96044432,85621940,Health Insurance
33174480,91918561,House Insurance
12312159,56028778,House Insurance
22603310,85020272,Car Insurance
1535503,69514031,House Insurance
86818111,64456907,Health Insurance
86957757,23706449,House Insurance
99237077,165170,House Insurance
54275203,92603481,Car Insurance
54710501,40923303,Health Insurance
29057700,8221627,Car Insurance
38323839,70793462,Car Insurance
36162757,50862232,Car Insurance
79345334,61364847,Health Insurance
44633210,15930963,Car Insurance
23360131,49492515,House Insurance
66633174,51524317,Car Insurance
33354782,7876957,Health Insurance
88239591,42646259,House Insurance
80716078,80096932,Car Insurance
5482085,14429272,Health Insurance
62232496,45835831,Health Insurance
39405263,44272191,House Insurance
71587195,14026500,Car Insurance
7341598,16298187,Car Insurance
28610458,37615557,House Insurance
2362668,60141415,Health Insurance
51075036,48321429,House Insurance
46314037,93760899,Health Insurance
341974,40943708,House Insurance
39436071,59155043,House Insurance
49986374,52315674,Health Insurance
27911144,7685295,Car Insurance
80762723,29973140,Health Insurance
73944976,914509,Car Insurance
60434382,11441672,Health Insurance
20016229,62537837,Car Insurance
45727558,96589738,House Insurance
22901550,1367134,Health Insurance
54509474,20278781,Car Insurance
38899938,39567839,Car Insurance
37470293,6508614,House Insurance
82091144,10764635,Health Insurance
83407337,74560194,House Insurance
41230690,43106340,Car Insurance
80981985,61393901,Car Insurance
5751189,90890816,Health Insurance
9747124,48971292,House Insurance
26036786,9102364,House Insurance
7721523,79411557,Car Insurance
66364979,71398818,Car Insurance
93701582,78748766,House Insurance
84762050,69691079,Health Insurance
71087515,62557932,House Insurance
45767774,69658080,Health Insurance
72545018,48573893,House Insurance
47938399,30781980,House Insurance
19255924,15842294,Health Insurance
36652622,81191693,Health Insurance
89602123,88074679,Health Insurance
76033925,70190605,Health Insurance
28188469,24000197,Car Insurance
140194,39792369,Health Insurance
27843789,55413389,Car Insurance
26041876,31111133,Car Insurance
729969,58871207,House Insurance
42003,26366617,Health Insurance
26532007,57974783,Car Insurance
40152133,53790580,Car Insurance
29497562,26660956,Health Insurance
48091754,8420954,House Insurance
31051962,88704184,House Insurance
17659052,53442600,House Insurance
25789780,2982439,House Insurance
81621096,10957095,Car Insurance
59480305,4584989,House Insurance
57107036,95063215,Health Insurance
17077282,53210429,Health Insurance
19110287,52704854,Health Insurance
83207549,37506706,Car Insurance
97117168,55609532,House Insurance
93319626,72197511,Health Insurance
2304303,68792438,House Insurance
14106132,41447475,House Insurance
74873771,61438439,House Insurance
69839628,30419980,House Insurance
22489063,72491206,Health Insurance
52337657,30420896,Car Insurance
77068449,86654336,Car Insurance
6077632,68022209,House Insurance
98372331,7809227,House Insurance
9833055,44942256,Health Insurance
38750133,49665955,House Insurance
10768201,58924314,House Insurance
95530221,98601207,Health Insurance
20296330,1852908,Health Insurance
47317257,14869521,Health Insurance
42710116,58579473,Health Insurance
48332237,37577077,Car Insurance
74977407,11561115,Health Insurance
60643901,64017931,House Insurance
13115043,84037166,House Insurance
19211308,7698219,House Insurance
84741063,30392399,House Insurance
95173855,99054494,Car Insurance
65451998,61663320,Car Insurance
77995274,48962127,Health Insurance
59855949,38714654,Health Insurance
36973350,23358176,House Insurance
83610199,55353729,House Insurance
82098244,69806539,Car Insurance
72248746,61983909,Car Insurance
31728279,87705891,House Insurance
1107029,69737324,Health Insurance
1517073,80571175,Car Insurance
26974514,63494787,Health Insurance
12219054,34001729,Health Insurance
94287093,3947994,House Insurance
9345359,9984363,Health Insurance
482166,69396297,Car Insurance
42199680,72376184,Car Insurance
87211507,20919966,House Insurance
97809523,57107899,House Insurance
26828728,61069487,House Insurance
20911274,86456189,Car Insurance
29989127,52066129,House Insurance
22121769,58802955,Health Insurance
25661492,12477791,Health Insurance
99286786,92063824,Car Insurance
37845279,2442412,Health Insurance
80381599,86474044,House Insurance
76152703,81506668,House Insurance
81565719,23140989,Health Insurance
64941165,29351904,Health Insurance
31322439,87125428,House Insurance
44967155,3464208,House Insurance
58170965,72174918,House Insurance
23954775,57876325,House Insurance
96991954,21969972,House Insurance
84269321,8951428,Health Insurance
67499250,45309414,Health Insurance
47436803,64784691,House Insurance
65367459,86120457,House Insurance
50185209,67036996,House Insurance
70618852,66117584,Health Insurance
58403419,91393138,Car Insurance
35253875,2804430,Car Insurance
78889201,66210078,Car Insurance
64770872,88531087,Health Insurance
31151909,39801126,Car Insurance
15460685,48268316,House Insurance
95092667,7857721,Health Insurance
51897706,65827517,House Insurance
73593,65905058,Health Insurance
12704703,18281260,Car Insurance
56377381,25564732,Health Insurance
65181144,89596143,Car Insurance
11492640,68420528,Health Insurance
10020830,15383399,Health Insurance
52784336,22055775,Car Insurance
95746889,48773295,Health Insurance
43790470,18390522,Health Insurance
77972416,63478668,House Insurance
87048145,91530254,Health Insurance
50858401,60567585,Health Insurance
89052643,51394156,Health Insurance
69071836,92028745,Health Insurance
43834181,22821781,Car Insurance
8251136,91246353,House Insurance
52238954,46171265,Health Insurance
56376110,20392263,House Insurance
9111597,94881740,House Insurance
74772728,27185835,Health Insurance
70137367,37931601,Health Insurance
70483823,78713187,House Insurance
46597213,10920713,Health Insurance
51159008,75327891,House Insurance
36418219,95116089,Health Insurance
28056205,44867289,House Insurance
93671409,88509001,Car Insurance
55225967,615726,Car Insurance
75109361,31100852,Health Insurance
31506235,65032013,Car Insurance
15366262,11229438,Health Insurance
13508365,1927894,Health Insurance
29918660,12715278,Car Insurance
84528402,75943114,House Insurance
83385663,34016527,Car Insurance
5005232,21738107,House Insurance
65099750,81031182,House Insurance
96392593,13516547,Car Insurance
63724410,95502439,Health Insurance
44818968,38587066,Car Insurance
99550187,5905589,Car Insurance
48205331,99853832,House Insurance
91140999,9063101,Health Insurance
84252848,53808053,Car Insurance
43716419,87984147,Car Insurance
13034298,86559860,Health Insurance
24225952,31296934,Car Insurance
41798413,60907019,House Insurance
61704878,46055417,House Insurance
4143916,48660464,Health Insurance
56542596,9485991,Health Insurance
31449106,55841296,Car Insurance
18826762,80806933,Health Insurance
43013818,90118043,Health Insurance
5438094,49919134,Health Insurance
69529111,35974781,Car Insurance
17588105,24103888,House Insurance
20902919,91271484,House Insurance
95336897,77059026,Car Insurance
80870401,56810117,House Insurance
80343889,97741510,House Insurance
